ID,nome_receita,ingredientes,modo-de-preparo,ingredientes_cobertura,ingredientes_decoracao,video_receita,ingredientes_recheio,ingredientes_finalizacao,total-da-massa,total-da_cobertura,total-da_decoracao,total-da_finalizacao,total-do_recheio
2209,Panettone Gotas de Chocolate com IREKS GRAN PANETTONE S C50,"Farinha de trigo especial (50%, 5000g); IREKS GRAN PANETTONE S C50 (50%, 5000g); Gotas de chocolate (congeladas)  (40%, 4000g); Fermento fresco  (6%, 600g); Água (gelada) (45%, 4500ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1, até obter o ponto de véu na velocidade 2 e mais 2 minutos na velocidade 1 (para misturar as gotas de chocolate) Peso das peças: 500 g para panetone e 100 g para mini panetone ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: panetone (forma de 500 g) e mini panetone (forma de 100 g) Fermentação: 120 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 35 minutos sem vapor para panetone e aprox. 20 minutos para mini panetone ou até obter o ponto Rendimento: 38 panetones de 465 g cada e 191 mini panetones de 93 g cada Quebra: 7%",,,,,,19100,,,,
2211,Panettone Frutas com IREKS GRAN PANETTONE C100,"IREKS GRAN PANETTONE C100 (100%, 5000g); Frutas cristalizadas (33%, 1650g); Uvas-passas (17%, 850g); Fermento fresco (5%, 250g); Água (gelada) (45%, 2250ml)","Tempo de preparo da massa: 4 minutos na velocidade 1, até obter o ponto de véu na velocidade 2 e mais 2 minutos na velocidade 1 (para misturar as frutas cristalizadas e as uvas-passas) Peso das peças: 550 g para panetone e 110 g para mini panetone ou no tamanho desejado Descanso das peças: 20 minutos, cobertas com plástico Formato: panetone (forma de 500 g) e mini panetone (forma de 100 g) Fermentação: 120 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 35 minutos sem vapor para panetone e aprox. 20 minutos para mini panetone ou até obter o ponto Rendimento: 18 panetones de 511 g cada ou 90 minis panetones de 102 g cada Quebra: 7%",,,,,,10000,,,,
2214,Panettone Gotas de Chocolate com IREKS GRAN PANETTONE C100,"IREKS GRAN PANETTONE C100 (100%, 5000g); Gotas de chocolate (congeladas) (40%, 2000g); Fermento fresco (5%, 250g); Água (gelada) (45%, 2250ml)","Tempo de preparo da massa: 4 minutos na velocidade 1, até obter o ponto de véu na velocidade 2 e mais 2 minutos na velocidade 1 (para misturar as gotas de chocolate) Peso das peças: 500 g para panetone e 100 g para mini panetone ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: panetone (forma de 500 g) e mini panetone (forma de 100 g) Fermentação: 120 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 35 minutos sem vapor para panetone e aprox. 20 minutos para mini panetone ou até obter o ponto Rendimento: 19 panetones de 465 g cada ou 95 minis panetones de 93 g cada Quebra: 7%",,,,,,9500,,,,
2216,Panettone Frutas com IREKS GOLDEN PANETTONE CLÁSSICO C50,"Farinha de trigo especial (50%, 5000g); IREKS GOLDEN PANETTONE CLÁSSICO C50 (50%, 5000g); Frutas cristalizadas (33%, 3300g); Uvas-passas (17%, 1700g); Fermento fresco (6%, 600g); Água (gelada) (45%, 4500ml)","Tempo de preparo dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1, até obter o ponto de véu na velocidade 2 e mais 2 minutos na velocidade 1 (para misturar as frutas cristalizadas e as uvas-passas) Peso das peças: 550 g para panetone e 110 g para mini panetone ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: panetone (forma de 500 g) e mini panetone (forma de 100 g) Fermentação: 120 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 35 minutos sem vapor para panetone e aprox. 20 minutos para mini panetone ou até obter o ponto Rendimento: 36 panetones de 510 g cada, 182 mini panetones de 100 g cada Quebra: 7%",,,,,,20100,,,,
2219,Panettone Gotas de Chocolate com IREKS GOLDEN PANETTONE CLÁSSICO C50,"Farinha de trigo especial (50%, 5000g); IREKS GOLDEN PANETTONE CLÁSSICO C50 (50%, 5000g); Gotas de chocolate (congeladas) (40%, 4000g); Fermento fresco (6%, 600g); Água (gelada) (45%, 4500ml)","Tempo de preparo dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1, até obter o ponto de véu na velocidade 2 e mais 2 minutos na velocidade 1 (para misturar as gotas de chocolate) Peso das peças: 540 g para panetone e 100 g para mini panetone ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: panetone (forma de 500 g) e mini panetone (forma de 100 g) Fermentação: 120 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 35 minutos sem vapor para panetone e aprox. 20 minutos para mini panetone ou até obter o ponto Rendimento: 35 panetones de 500 g cada, 191 mini panetones de 93 g cada Quebra: 7%",,,,,,19100,,,,
2221,Panettone Frutas com IREKS PANETTONE C10,"Farinha de trigo especial (71%, 71000g); IREKS PANETTONE C10 (10%, 10000g); Açúcar refinado (14%, 14000g); Gordura vegetal hidrogenada (pastosa) (5%, 5000g); Frutas cristalizadas (33%, 33000g); Uvas-passas (17%, 17000g); Fermento biológico seco (2%, 2000g); Água (gelada) (48%, 48000ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1, até obter o ponto de véu na velocidade 2 e 2 minutos na velocidade 1 Peso das peças: 550 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: panetone (forma de 500 g) Fermentação: 120 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 35 a 40 minutos sem vapor ou até obter o ponto Rendimento: 363 panetones de 511 g cada Quebra: 7%",,,,,,200000,,,,
2224,Panettone Gotas de Chocolate com IREKS PANETTONE C10,"Farinha de trigo especial (71%, 71000g); IREKS PANETTONE C10 (10%, 10000g); Açúcar (14%, 14000g); Gordura vegetal hidrogenada (pastosa) (5%, 5000g); Gotas de chocolate (congeladas) (40%, 40000g); Fermento fresco (6%, 6000g); Água (gelada) (45%, 45000ml)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1, até obter o ponto de véu na velocidade 2 e 2 minutos na velocidade 1 (para misturar as gotas de chocolate) Peso das peças: 540 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: panetone (forma de 500 g) Fermentação: 120 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 35 a 40 minutos sem vapor ou até obter o ponto Rendimento: 353 panetones de 502 g cada Quebra: 7%",,,,,,191000,,,,
2226,Bolo Cremoso de Milho Verde com IREKS GOLDEN CAKE MILHO VERDE,"IREKS GOLDEN CAKE MILHO VERDE (100%, 2000g); Ovos  (20%, 400g); Coco ralado (6%, 120g); Leite integral (60%, 1200ml)",Tempo de preparo da massa: 3 minutos na velocidade 1 (com batedor tipo raquete) Peso das peças: 370 g ou no tamanho desejado Forno lastro: fornear sem vapor a 160°C por 45 minutos ou até obter o ponto Forno tubo: fornear sem vapor a 140°C por 35 minutos ou até obter o ponto Rendimento: 10 bolos de 344 g cada Quebra: 8%,,,,,,3720,,,,
2229,Cake Chocolate com IREKS GOLDEN CAKE CHOCOLATE,"IREKS GOLDEN CAKE CHOCOLATE (100%, 2000g); Ovos  (45%, 900g); Óleo vegetal (20%, 400g); Água (temperatura ambiente) (30%, 600ml)",Tempo de preparo da massa: 3 minutos na velocidade 1 (com batedor tipo raquete) Peso das peças: 300 g ou no tamanho desejado Temperatura: 170°C Tempo de forneamento: 30 a 35 minutos sem vapor ou até obter o ponto Rendimento: 13 bolos de 265 g cada (massa sem recheio) Quebra: 12%,,,,,,3900,,,,
2232,Golden Cake Neutro com IREKS GOLDEN CAKE NEUTRO,"IREKS GOLDEN CAKE NEUTRO (100%, 2000g); Ovos  (40%, 800g); Óleo vegetal (25%, 500g); Água (temperatura ambiente) (25%, 500ml)",Tempo de preparo da massa: 4 minutos na velocidade 1 (com batedor tipo raquete) Peso das peças: 230 g ou no tamanho desejado Temperatura: 160°C Tempo de forneamento: 30 a 35 minutos sem vapor ou até obter o ponto Rendimento: 16 bolos de 211 g cada (massa sem recheio) Quebra: 11%,,,,,,3800,,,,
2235,Bolo Cremoso de Aipim com IREKS GOLDEN CAKE AIPIM,"IREKS GOLDEN CAKE AIPIM (100%, 2000g); Ovos  (35%, 700g); Coco ralado (6%, 120g); Leite integral (60%, 1200ml)",Tempo de preparo da massa: 3 minutos na velocidade 1 (batedor tipo raquete) Peso das peças: 400 g ou no tamanho desejado Forno lastro: fornear sem vapor a 160°C por 45 minutos ou até obter o ponto Forno tubo: fornear sem vapor a 140°C por 35 minutos ou até obter o ponto Rendimento: 10 bolos de 370 g cada Quebra: 8%,,,,,,4020,,,,
2241,Bolo Cremoso de Fubá com IREKS GOLDEN CAKE FUBÁ,"IREKS GOLDEN CAKE FUBÁ (100%, 2000g); Ovos  (45%, 900g); Óleo vegetal (20%, 400g); Água (temperatura ambiente) (23%, 460ml)",Tempo de preparo da massa: 5 minutos na velocidade 2 (com batedor tipo raquete) Peso das peças: 330 g ou no tamanho desejado Forno lastro: fornear sem vapor a 160°C por 45 minutos ou até obter o ponto (é recomendável assar o bolo sobre uma assadeira para baixo) Forno turbo: fornear sem vapor a 140°C por 35 minutos ou até obter o ponto Rendimento: 11 bolos de 311 g cada Quebra: 9%,,,,,,3760,,,,
2244,Bolo de Cenoura com IREKS GOLDEN CAKE CENOURA,"IREKS GOLDEN CAKE CENOURA (100%, 2000g); Ovos (45%, 900g); Óleo vegetal (20%, 400g); Água (temperatura ambiente) (22,5%, 450ml)",Tempo de preparo da massa: 3 minutos na velocidade 1 (com batedor tipo raquete) Peso das peças: 330 g ou no tamanho desejado Forno lastro: fornear sem vapor a 160°C por 40 minutos ou até obter o ponto Forno turbo: fornear sem vapor a 140°C por 40 minutos ou até obter o ponto Dica: cobrir as peças com ganache de chocolate a gosto Rendimento: 11 bolos de 300 g cada Quebra: 9%,,,,,,3750,,,,
2250,Grano Cake com IREKS GRANO CAKE,"IREKS GRANO CAKE  (100%, 2000g); Ovos (45%, 900g); Óleo vegetal (20%, 400g); Água (temperatura ambiente) (40%, 800ml)",Tempo de preparo da massa: 4 minutos na velocidade 1 (com batedor tipo raquete) Peso das peças: 340 g ou no tamanho desejado Temperatura do forno: 180°C Tempo de forneamento: 35 minutos sem vapor ou até obter o ponto Rendimento: 12 bolos de 300 g cada Quebra: 12%,,,,,,4100,,,,
2253,Pão de ló com IREKS GOLDEN PÃO DE LÓ,"IREKS GOLDEN PÃO DE LÓ (100%,  2000g); Ovos (60%, 1200g); Água (temperatura ambiente) (20%, 400ml)","Tempo de preparo da massa: 1 minuto na velocidade 1, 6 minutos na velocidade 3 e mais 1 minuto na velocidade 1 (com batedor tipo globo) Peso das peças: 400 g ou no tamanho desejado Temperatura do forno: 180°C Tempo de forneamento: 25 a 30 minutos sem vapor ou até obter o ponto Rendimento: 9 pães de ló de 340 g cada Quebra: 15%",,,,,,3600,,,,
2256,Pão de ló Chocolate com IREKS GOLDEN SCHOKO PÃO DE LÓ,"IREKS GOLDEN SCHOKO PÃO DE LÓ  (100%, 2000g); Ovos (60%, 1200g); Água (temperatura ambiente) (20%, 400ml)","Tempo de preparo da massa: 1 minuto na velocidade 1, 6 minutos na velocidade 3 e mais 1 minuto na velocidade 1 (com batedor tipo globo) Peso das peças: 400 g ou no tamanho desejado Temperatura do forno: 180°C Tempo de forneamento: 25 a 30 minutos sem vapor ou até obter o ponto Rendimento: 9 pães de ló de 340 g cada Quebra: 15%",,,,,,3600,,,,
2259,Pão de ló com IREKS GOLDEN PÃO DE LÓ C50,"Farinha de trigo para bolo (20%, 4000g); IREKS GOLDEN PÃO DE LÓ C50 (50%, 10000g); Açúcar refinado (30%, 6000g); Ovos (60%, 12000g); Água (temperatura ambiente) (20%, 4000ml)","Tempo de preparo da massa: adicionar o produto IREKS e o restante dos ingredientes na batedeira, bater por 1 minuto na velocidade 1, bater 6 minutos na velocidade 3 e finalizar batendo 1 minuto na velocidade 1 (com batedor tipo globo) Peso das peças: 400 g (forma redonda com 22 de diâmetro), previamente untada ou no tamanho desejado Temperatura do forno: 180°C Tempo de forneamento: 25 a 30 minutos sem vapor ou até obter o ponto Rendimento: 90 pães de ló de 340 g cada Quebra: 15%",,,,,,36000,,,,
2262,Cake Tapioca com IREKS GOLDEN CAKE TAPIOCA,"IREKS GOLDEN CAKE TAPIOCA (100%, 2000g); Ovos (40%, 800g); Coco (ralado em flocos) (10%, 200g); Água (temperatura ambiente) (40%, 800ml); Leite de coco (20%, 400ml)","Tempo de preparo da massa: 3 minutos na velocidade 1 (com batedor tipo raquete) Peso das peças: 350 g ou no tamanho desejado Forno lastro: fornear sem vapor a 160°C por 45 minutos Forno turbo: fornear sem vapor a 140°C por 35 minutos Rendimento: 12 bolos de 323 g cada Quebra: 7,5%",,,,,,4200,,,,
2265,Pão de ló com IREKS GOLDEN SCHOKO PÃO DE LÓ C50,"Farinha de trigo para bolo (20%, 4000g); IREKS GOLDEN SCHOKO PÃO DE LÓ C50 (50%, 10000g); Açúcar refinado (30%, 6000g); Ovos (60%, 12000g); Água (temperatura ambiente) (20%, 4000ml)","Tempo de preparo da massa: adicionar o produto IREKS e o restante dos ingredientes na batedeira, bater por 1 minuto na velocidade 1, bater 5 minutos na velocidade 4 e finalizar batendo 1 minuto na velocidade 1 (com batedor tipo globo) Peso das peças: 400 g (forma redonda com 22 de diâmetro), previamente untada ou no tamanho desejado Temperatura do forno: 180°C Tempo de forneamento: 25 a 30 minutos sem vapor ou até obter o ponto Rendimento: 90 pães de ló de 340 g cada Quebra: 15%",,,,,,36000,,,,
2268,Golden Creme com IREKS GOLDEN CREME,"IREKS GOLDEN CREME  (100%, 2000g); Água (gelada) (250%, 5000ml)",Tempo de preparo do creme: 6 minutos na velocidade 3 (com batedor tipo globo) Rendimento: 7 kg de creme para recheio ou cobertura Quebra: 0%,,,,,,7000,,,,
2272,Creme Confeiteiro com IREKS CREME CCT,"IREKS CREME CCT (100%, 800g); Leite integral (250%, 2000ml)","Tempo de preparo: ferver o leite, após a fervura baixar o fogo e adicionar o produto IREKS, cozinhar mexendo sempre (com batedor fuê), até obter o ponto Modo de aplicação: após esfriar, acondicionar em uma manga de confeitar e aplicar conforme desejado Dica: se necessário, armazenar sob refrigeração em recipiente fechado. Para reutilização basta bater para obter consistência cremosa. Aceita adição de chocolate, creme de leite, chantilly, polpa de frutas, etc. Rendimento: 2.464 kg de creme para recheio ou cobertura Quebra: 12%",,,,,,2800,,,,
2275,Brownie com IREKS BROWNIE," IREKS BROWNIE (100%, 2000g);  Óleo vegetal (20%, 400g);  Nozes picadas (opcional) (15%, 300g);  Água (temperatura ambiente) (30%, 600ml)","Tempo de preparo da massa: 1 minuto na velocidade 1 (com batedor tipo raquete) e 2 minutos na velocidade 2 Temperatura do forno: 180°C Tempo de forneamento: 25 minutos sem vapor ou até obter o ponto Dica: para garantir miolo macio e cremoso, não ultrapassar o tempo de forneamento Rendimento: 1 tabuleiro de 3.069 g sem cobertura Quebra: 7%",,,,,,3300,,,,
2278,Golden Eclair com IREKS GOLDEN ECLAIR,"IREKS GOLDEN ECLAIR  (100%, 600g); Ovos (83%, 500g); Óleo vegetal (67%, 400g); Água (gelada) (75%, 450ml)","Tempo de preparo do creme: adicionar o produto IREKS e óleo na batedeira na velocidade 1, adicionar a água na velocidade 1, adicionar os ovos aos poucos na velocidade 1, batendo por 3 minutos. Bater por 8 minutos na velocidade 3 Modelagem: pingar os éclairs com auxílio de uma manga de confeitar, com 12 cm ou no tamanho desejado Temperatura do forno: 180°C Tempo de forneamento: 30 minutos sem vapor ou até obter o ponto Rendimento: 65 éclairs de 25 g cada Quebra: 14%",,,,,,1950,,,,
2281,Mon Macaron com IREKS MON MACARON,"IREKS MON MACARON  (100%, 1000g); Água morna (aprox. 35°C) (20%, 200ml)","Tempo de preparo da massa: 1 minuto na velocidade 1 e 4 minutos na velocidade 3 (com batedor tipo leque) Formato: pingar com auxílio de uma manga de confeitar e bico perlê (liso) sobre uma assadeira forrada com folha antiaderente Descanso da massa: 10 minutos antes de fornear Forno turbo: aquecer a 130°C após fornear os macarons por 8 minutos com o forno desligado, ligar e fornear com o respiro do forno aberto a 120ºC por 25 minutos ou até obter o ponto Forno lastro: fornear a 130°C por 25 minutos ou até obter o ponto, com respiro aberto Recheio: Opcional – recheio base: misturar e cozinhar todos os ingredientes em fogo médio, mexendo sempre até soltar da panela Rendimento: 200 unidades de 5,3 g (massa sem recheio) Quebra: 10%",,,https://www.youtube.com/watch?v=0hJIJIgasRc&list=PLhgz6R_DV9Lgm3s5RrKMFXDmGiCHMb9Qh&index=16,"Leite condensado (100%, gg); Gemas peneiradas (10,6%, gg); Manteiga sem sal (5,9%, gg)",,1200,,,,495
2284,Base Salgada com IREKS CREME QUICHE GOURMET,"IREKS CREME QUICHE GOURMET  (100%, 2000g); Sal (3%, 60g); Água (gelada) (250%, 5000ml)","Tempo de preparo do creme: bater no liquidificador por 2 minutos na velocidade 1 ou até obter o ponto Aplicação: forrar as forminhas de quiche com a massa de sua preferência, rechear a gosto e aplicar o creme previamente preparado sobre os recheios até ficarem totalmente cobertos Dica: finalizar com queijo ralado Forneamento: 180°C ou até obter o ponto Rendimento: 140 quiches de Ø 7 cm Quebra: 0%",,,,,,7060,,,,
2287,Base Doce com IREKS CREME QUICHE GOURMET,"IREKS CREME QUICHE GOURMET (100%, 2000); Açúcar (50%, 1000); Água (gelada) (250%, 5000)","Tempo de preparo do creme: bater no liquidificador por 2 minutos na velocidade 1 ou até obter o ponto Aplicação: forrar as forminhas de quiche com a massa de sua preferência, rechear a gosto e aplicar o creme previamente preparado sobre os recheios até ficarem totalmente cobertos Forneamento: 180°C ou até obter o ponto Rendimento: 160 quiches de Ø 7 cm Quebra: 0%",,,,,,8000,,,,
2289,Broa de Milho com IREKS BROA DE MILHO C100,"IREKS BROA DE MILHO C100 (100%, 2000g); Óleo vegetal (36%, 720g); Ovos (32%, 640g); Leite integral (40%, 800ml)","Tempo de preparo da massa: adicionar o produto IREKS e o óleo na batedeira na velocidade 1 por 1 minuto, adicionar o leite e os ovos aos poucos e misturar por 2 minutos na velocidade 1 ou até obter uma massa lisa (com batedor tipo raquete) Peso das peças: 50 g, fazer bolinhas, acondicionar em formas, borrifar as peças com água e peneirar o fubá Forno lastro: fornear sem vapor a 200°C por 32 minutos ou até obter o ponto Forno turbo: fornear sem vapor a 170°C por 30 minutos ou até obter o ponto Dica: para produção em máquinas industriais reduzir a quantidade de leite até obter o ponto. No forno lastro fornear sobre uma esteira de pão francês, não untar a forma, quando o pronto esfriar soltar com auxílio de uma espátula Rendimento: 83 broas de 40 g cada Quebra: 17%",,,,,,4160,,,,
2298,Broa Aerosa com IREKS BROA DE MILHO C100,"IREKS BROA DE MILHO C100 (100%, 2000g); Ovos (45%, 900g); Óleo vegetal (40%, 800g); Leite integral (30%, 600ml)","Tempo de preparo da massa: adicionar o produto IREKS e o óleo na batedeira na velocidade 1 por 1 minuto, adicionar o leite e os ovos aos poucos e misturar por 2 minutos na velocidade 3, ou até obter uma massa lisa (com batedor tipo raquete) Peso das peças: 50 g, com auxílio de uma manga de confeitar com bico roseta grande, borrifar as peças com água e peneirar o fubá Forno lastro: fornear sem vapor a 210°C por 32 minutos ou até obter o ponto Forno turbo: fornear sem vapor a 170°C por 30 minutos ou até obter o ponto Dica: para produção em máquinas industriais reduzir a quantidade de leite até obter o ponto. No forno lastro fornear sobre uma esteira de pão francês, não untar a forma, quando o pronto esfriar soltar com auxílio de uma espátula Rendimento: 86 broas de 38 g cada Quebra: 23%",,,,,,4300,,,,
2300,Broa Caxambu com IREKS BROA DE MILHO C100,"IREKS BROA DE MILHO C100 (100%, 2000g); Margarina (com 80% de lipídios) (30%, 600g); Ovos (20%, 400g); Fubá mimoso (amarelo) (10%, 200g); Fermento químico (2%, 40g); Leite integral (12%, 240ml)","Tempo de preparo da massa: adicionar todos os ingredientes na batedeira, exceto o leite e os ovos, bater na velocidade 1 por 1 minuto, adicionar o leite e os ovos aos poucos e misturar por 2 minutos na velocidade 1 ou até obter uma massa lisa (com batedor tipo raquete) Peso das peças: 70 g, fazer bolinhas, acondicionar em formas previamente untadas, pincelar com gemas diluídas no leite Forno lastro: fornear sem vapor a 180°C por 25 minutos ou até obter o ponto Forno turbo: fornear sem vapor a 170°C por 25 minutos ou até obter o ponto Dica: para produção em máquinas industriais reduzir a quantidade de leite até obter o ponto. No forno lastro fornear sobre uma esteira de pão francês, não untar a forma, quando o produto esfriar soltar com auxílio de uma espátula Rendimento: 49 broas de 58 g cada Quebra: 18%",,,,,,3480,,,,
2302,Batard Lievito com IREKS LIEVITO MADRE PURO,"Farinha de trigo especial (%, 4500g); IREKS LIEVITO MADRE PURO (%, 500g); Fermento Fresco (%, 50g); Água (gelada) (%, 2800ml)","Tempo de preparo do pré-fermento: 6 minutos na velocidade 1 até todos os ingredientes ficarem homogêneos, colocar em um recipiente untado com óleo, fermentar em temperatura ambiente por 2 horas e por 18 horas sob refrigeração (5°C) Tempo de preparo dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1, até obter o ponto de véu na velocidade 2 Peso das peças: 500 g Descanso das peças: 45 minutos Modelagem: modelar as peças em formato de filão, alongar e colocar em cestos de pão (banneton) Fermentação: fermentar por no mínimo por 18 horas sob refrigeração a 5°C Finalização: fazer um corte central, com auxílio de um cortador de pestana Temperatura do forno: 230°C Tempo de forneamento: fornear com vapor a 230°C por 35 minutos ou até obter o ponto Rendimento: 34 pães de 410 g cada Quebra: 18%",,,,"Pré-Fermento (esponja) (%, gg); Farinha de trigo especial (%, gg); IREKS IDEAL FLEX (%, gg); Sal (%, gg); Fermento Fresco (%, gg); Água (gelada) (%, mlml)",,7850,,,,17180
2305,Pão Francês com IREKS IDEAL FLEX,"Farinha de trigo especial (100%, 50000g); IREKS IDEAL FLEX (1%, 500g); Sal (2%, 1000g); Fermento fresco  (3%, 1500g); Água (gelada) (60%, 30000ml)","Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso da massa: 2.100 g ou no tamanho desejado Descanso da massa: 15 minutos, coberta com plástico Formato: pão francês (dividir com auxílio de uma divisora) Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 220°C Tempo de forneamento: 20 minutos com vapor ou até obter o ponto Rendimento: 1.185 pães de 50 g cada Quebra: 24%",,,,,,83000,,,,
2311,Pão Vegano com IREKS PÃO VEGANO,"IREKS PÃO VEGANO  (100%, 5000g); Fermento fresco (3%, 150g); Água* (70%, 3500ml)","Temperatura da água: 25°C para o inverno e 15°C no verão Tempo de preparo da massa: 8 minutos na velocidade 1 e até obter o ponto de liga na velocidade 2 Descanso da massa: 30 minutos, jogar farinha na mesa, fazer um bloco e dobrar em 3 partes Peso das peças: 430 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: filão Fermentação: 25 minutos ou até obter o ponto Temperatura do forno: 230°C / 200°C Tempo de forneamento: 10 minutos a temperatura de 230°C com vapor, regular a temperatura para 200°C e fornear por mais 25 minutos ou até obter o ponto Dica: utilizar farinha de trigo para dividir, bolear, descansar e modelar a massa. Não utilizar óleo vegetal Rendimento: 20 pães de 378 g cada Quebra: 12%","Topping Vegano (100%, gg)",,,,,8650,350,,,
2314,Pão sem Glúten com IREKS SINGLUPLUS,"IREKS SINGLUPLUS (100%, 12500g); Óleo vegetal (4%, 500g); Fermento fresco (4%, 500g); Água (gelada)  (88%, 11000ml)",Tempo de preparo da massa: 4 minutos na velocidade 1 e até a massa ficar bem homogênea na velocidade 2 Peso das peças: 450 g ou no tamanho desejado Formato: filão ou forma Fermentação: 45 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: 20 minutos com vapor ou até obter o ponto Rendimento: 54 pães de 378 g cada Quebra: 16%,,,,,,24500,,,,
2317,Pão sem Glúten com Sementes com IREKS SINGLUPLUS SPECIAL,"IREKS SINGLUPLUS SPECIAL  (100%, 12500g); Óleo vegetal (3%, 375g); Sal (1,8%, 225g); Fermento fresco (3%, 375g); Água (gelada) *gelo escamas (82%, 10250ml)","Tempo de preparo da massa: 4 minutos na velocidade 1 e até a massa ficar bem homogênea na velocidade 2 Peso das peças: 420 g ou no tamanho desejado Formato: filão ou panhoca Fermentação: 45 minutos ou até obter o ponto Temperatura do forno: 190°C Tempo de forneamento: 25 minutos com vapor ou até obter o ponto Dica: cobrir os pães com sementes de girassol, gergelim, abóbora, linhaça ou amido de milho (utilizando as sementes em quantidades iguais) Rendimento: 56 pães de 361 g cada Quebra: 14%",,,,,,23725,,,,
2320,Bolo Inglês sem Açúcar com IREKS GOLDEN CAKE SEM AÇÚCAR,"IREKS GOLDEN CAKE SEM AÇÚCAR (100%, 2000g); Ovos (35%, 700g); Óleo vegetal (32%, 640g); Água (temperatura ambiente) (22%, 440ml)",Tempo de preparo da massa: 3 minutos na velocidade 1 (com batedor tipo raquete) Peso das peças: 300 g ou no tamanho desejado Temperatura do forno: 170°C Tempo de forneamento: 40 minutos sem vapor ou até obter o ponto Rendimento: 12 bolos de 270 g cada Quebra: 10%,,,,,,3780,,,,
2323,Bolo Vegano com IREKS CAKE VEGANO,"IREKS CAKE VEGANO  (100%, 2000g); Óleo vegetal (25%, 500g); Água (temperatura ambiente) (45%, 900ml)",Tempo de preparo da massa: 4 minutos na velocidade 1 (com batedor tipo raquete) Peso das peças: 330 g ou no tamanho desejado Temperatura do forno: 170°C Tempo de forneamento: 40 minutos sem vapor ou até obter o ponto Rendimento: 10 bolos de 290 g cada Quebra: 12%,,,,,,3400,,,,
2329,Muffin sem Glúten com IREKS MUFFIN-MIX GLUTEN-FREE,"IREKS MUFFIN-MIX GLUTEN-FREE  (100%, 12500g); Ovos (50%, 6250g); Óleo vegetal (35%, 4375g); Água (20ºC) (15%, 1875ml)",Tempo de preparo da massa: 3 minutos na velocidade 2 (com batedor tipo raquete) Peso das peças: 70 g ou no tamanho desejado Temperatura do forno: 180°C Tempo de forneamento: 20 minutos sem vapor ou até obter o ponto Rendimento: 357 unidades de 62 g cada (sem recheio) Quebra: 11%,,,,,,25000,,,,
2784,Sonho com Goiabada com IREKS PÃO DE MILHO ESPECIAL C50,"Farinha de trigo especial (50%, 1.000); IREKS PÃO DE MILHO ESPECIAL C50 (50%, 1.000); Margarina (com 80% de lipídios) (5%, 100); Fermento fresco (6%, 120); Água (gelada) (40%, 800)","Tempo de batimento dos ingredientes secos: 1 minuto na velocidade 1 Tempo de preparo da massa: 4 minutos na velocidade 1 e até obter o ponto de véu na velocidade 2 Peso das peças: 900 g ou no tamanho desejado Descanso das peças: 10 minutos, cobertas com plástico Formato: bola (dividir com auxílio de uma divisora) Fermentação: 90 minutos ou até obter o ponto Temperatura do forno: 170°C Tempo de forneamento: pré-assar por 12 minutos com vapor ou até obter o ponto Temperatura do óleo: após pré-assar fritar os sonhos com a temperatura de 160°C Finalização: cortar os sonhos e rechear Dica: peneirar açúcar de confeiteiro Total da massa crua: 6.020 g Total da massa assada: 5.719 g Rendimento: 100 sonhos de aprox. 57 g cada Quebra: 5%",,,,"Goiabada cremosa (100%, )",,3.02,,,,3
